"PC Name","Company", "Site", "Solution", "Product", "availableCSpace (G)","totalCSpace (G)", "availableDSpace (G)", "totalDSpace (G)" 
"FTWWS1741_C4346B57C8E2","Verizon-FastClear","Verizon","allinone","greent","318","433","31","31",
"FTWWS1742_40A8F0647529","Verizon-Android","Verizon","allinone","greent","383","416","N/A","N/A",
"FTWWS1744_C4346B57C8FA","Verizon-FastClear","Verizon","allinone","greent","321","433","31","31",
"FTWWS1746_C4346B57C914","Verizon-Android","Verizon","allinone","greent","379","433","31","31",
"FTWWS1747_C4346B57C8D5","Verizon-Android","Verizon","allinone","greent","410","433","31","31",
"FTWWS1755_C4346B54A585","Verizon-Android","Verizon","allinone","greent","384","433","31","31",
"FTWWS1759_40A8F0647533","Verizon-Android","Verizon","allinone","greent","410","433","31","31",
"FTWWS1760_C4346B57C999","Verizon-Android","Verizon","allinone","greent","395","433","31","31",
"FTWWS1761_40A8F06475C2","Verizon-Android","Verizon","allinone","greent","308","433","31","31",
"FTWWS1764_40A8F064755F","Verizon-FastClear","Verizon","allinone","greent","189","416","N/A","N/A",
"FTWWS1765_40A8F0647544","Verizon-FastClear","Verizon","allinone","greent","101","433","31","31",
"FTWWS1768_C4346B522B43","Verizon-FastClear","Verizon","allinone","greent","319","433","31","31",
"FTWWS1775_C4346B54A49E","Verizon-Android","Verizon","allinone","greent","410","433","31","31",
"FTWWS1778_40A8F06475B2","Verizon-FGO","Verizon-FGO","allinone","greent","278","416","48","48",
"FTWWS1794_C4346B57C7A3","Verizon-FGO","Verizon-FGO","allinone","greent","355","465","0","0",
"FTWWS1811_C4346B54A5B5","Verizon-Android","Verizon","allinone","greent","408","433","31","31",
"FTWWS1828_C4346B57C903","Verizon-Android","Verizon","allinone","greent","394","433","31","31",
"FTWWS1834_40A8F064754A","Verizon-Android","Verizon","allinone","greent","411","433","31","31",
"FTWWS1842_C4346B522699","Verizon-Android","Verizon","allinone","greent","410","433","31","31",
"FTWWS1849_A0D3C12D11CA","Verizon-FastClear","Verizon","allinone","greent","321","433","31","31",
"FTWWS1945_40A8F067EC12","Verizon-FastClear","Verizon","allinone","greent","225","433","31","31",
"FTWWS1946_C4346B548910","Verizon-FastClear","Verizon","allinone","greent","230","433","31","31",
"FTWWS1949_C4346B520EE2","Verizon-FastClear","Verizon","allinone","greent","217","433","31","31",
"FTWWS1953_C4346B5153F5","Verizon-FastClear","Verizon","allinone","greent","356","464","N/A","N/A",
"FTWWS1955_C4346B548912","Verizon-Android","Verizon","allinone","greent","410","433","31","31",
"FTWWS1965_40A8F0645AB2","Verizon-FastClear","Verizon","allinone","greent","334","433","31","31",
"FTWWS1966_C4346B5153B4","Verizon-FastClear","Verizon","allinone","greent","278","433","31","31",
"FTWWS1967_C4346B57C0E4","Verizon-FastClear","Verizon","allinone","greent","292","433","31","31",
"FTWWS1968_C4346B549DF7","Verizon-FastClear","Verizon","allinone","greent","315","433","31","31",
"FTWWS1972_C4346B5225FB","Verizon-FastClear","Verizon","allinone","greent","262","433","31","31",
"FTWWS1973_C4346B5153A8","Verizon-FastClear","Verizon","allinone","greent","69","433","31","31",
"FTWWS1975_C4346B548758","Verizon-FastClear","Verizon","allinone","greent","158","433","31","31",
"FTWWS1978_C4346B548920","Verizon-FastClear","Verizon","allinone","greent","223","433","31","31",
"FTWWS1979_40A8F0645A96","Verizon-FastClear","Verizon","allinone","greent","56","433","30","31",
"FTWWS1980_C4346B515423","Verizon-FastClear","Verizon","allinone","greent","333","433","31","31",
"FTWWS1981_40A8F067EC14","Verizon-FastClear","Verizon","allinone","greent","172","433","31","31",
"FTWWS1983_C4346B57C0E2","Verizon-FastClear","Verizon","allinone","greent","149","433","31","31",
"FTWWS1987_C4346B5356A8","Verizon-FGO","Verizon-FGO","allinone","greent","294","433","31","31",
"FTWWS2028_C4346B52242A","Verizon-FastClear","Verizon","allinone","greent","362","433","31","31",
"FTWWS2046_A0481CACEF93","Verizon-Android","Verizon","allinone","greent","410","433","31","31",
